 placementid | shardid | shardstate | shardlength | groupid 
          56 |  102010 |          1 |           0 |      15
          57 |  102010 |          1 |           0 |      16
          58 |  102010 |          1 |           0 |      17
          59 |  102010 |          1 |           0 |      18
          60 |  102010 |          1 |           0 |      19
          61 |  102011 |          1 |           0 |       0
          62 |  102011 |          1 |           0 |       1
          63 |  102011 |          1 |           0 |       2
          64 |  102011 |          1 |           0 |       3
          65 |  102011 |          1 |           0 |       4
          66 |  102011 |          1 |           0 |       5
          67 |  102011 |          1 |           0 |       6
          68 |  102011 |          1 |           0 |       7
          69 |  102011 |          1 |           0 |       8
          70 |  102011 |          1 |           0 |       9
          71 |  102011 |          1 |           0 |      10
          72 |  102011 |          1 |           0 |      11
          73 |  102011 |          1 |           0 |      12
          74 |  102011 |          1 |           0 |      13
          75 |  102011 |          1 |           0 |      14
          76 |  102011 |          1 |           0 |      15
          77 |  102011 |          1 |           0 |      16
          78 |  102011 |          1 |           0 |      17
          79 |  102011 |          1 |           0 |      18
          80 |  102011 |          1 |           0 |      19
          81 |  102012 |          1 |           0 |       0
          82 |  102012 |          1 |           0 |       1
          83 |  102012 |          1 |           0 |       2
          84 |  102012 |          1 |           0 |       3
          85 |  102012 |          1 |           0 |       4
          86 |  102012 |          1 |           0 |       5
          87 |  102012 |          1 |           0 |       6
          88 |  102012 |          1 |           0 |       7
          89 |  102012 |          1 |           0 |       8
          90 |  102012 |          1 |           0 |       9
          91 |  102012 |          1 |           0 |      10
          92 |  102012 |          1 |           0 |      11
          93 |  102012 |          1 |           0 |      12
          94 |  102012 |          1 |           0 |      13
          95 |  102012 |          1 |           0 |      14
          96 |  102012 |          1 |           0 |      15
          97 |  102012 |          1 |           0 |      16
          98 |  102012 |          1 |           0 |      17
          99 |  102012 |          1 |           0 |      18
         100 |  102012 |          1 |           0 |      19
         101 |  102013 |          1 |           0 |       0
         102 |  102013 |          1 |           0 |       1
         103 |  102013 |          1 |           0 |       2
         104 |  102013 |          1 |           0 |       3
         105 |  102013 |          1 |           0 |       4
         106 |  102013 |          1 |           0 |       5
         107 |  102013 |          1 |           0 |       6
         108 |  102013 |          1 |           0 |       7
         109 |  102013 |          1 |           0 |       8
         110 |  102013 |          1 |           0 |       9
         111 |  102013 |          1 |           0 |      10
         112 |  102013 |          1 |           0 |      11
         113 |  102013 |          1 |           0 |      12
         114 |  102013 |          1 |           0 |      13
         115 |  102013 |          1 |           0 |      14
         116 |  102013 |          1 |           0 |      15
         117 |  102013 |          1 |           0 |      16
         118 |  102013 |          1 |           0 |      17
         119 |  102013 |          1 |           0 |      18
         120 |  102013 |          1 |           0 |      19
         121 |  102014 |          1 |           0 |       1
         122 |  102015 |          1 |           0 |       2
         123 |  102016 |          1 |           0 |       3
         124 |  102017 |          1 |           0 |       4
         125 |  102018 |          1 |           0 |       5
         126 |  102019 |          1 |           0 |       6
         127 |  102020 |          1 |           0 |       7
         128 |  102021 |          1 |           0 |       8
         129 |  102022 |          1 |           0 |       9
         130 |  102023 |          1 |           0 |      10
         131 |  102024 |          1 |           0 |      11
         132 |  102025 |          1 |           0 |      12
         133 |  102026 |          1 |           0 |      13
         134 |  102027 |          1 |           0 |      14
         135 |  102028 |          1 |           0 |      15
         136 |  102029 |          1 |           0 |      16
         137 |  102030 |          1 |           0 |      17
         138 |  102031 |          1 |           0 |      18
         139 |  102032 |          1 |           0 |      19
         140 |  102033 |          1 |           0 |       1
         141 |  102034 |          1 |           0 |       2
         142 |  102035 |          1 |           0 |       3
         143 |  102036 |          1 |           0 |       4
         144 |  102037 |          1 |           0 |       5
         145 |  102038 |          1 |           0 |       6
         146 |  102039 |          1 |           0 |       7
         147 |  102040 |          1 |           0 |       8
         148 |  102041 |          1 |           0 |       9
         149 |  102042 |          1 |           0 |      10
         150 |  102043 |          1 |           0 |      11
         151 |  102044 |          1 |           0 |      12
         152 |  102045 |          1 |           0 |      13
         153 |  102046 |          1 |           0 |       1
         154 |  102047 |          1 |           0 |       2
         155 |  102048 |          1 |           0 |       3
         156 |  102049 |          1 |           0 |       4
         157 |  102050 |          1 |           0 |       5
         158 |  102051 |          1 |           0 |       6
         159 |  102052 |          1 |           0 |       7
         160 |  102053 |          1 |           0 |       8
         161 |  102054 |          1 |           0 |       9
         162 |  102055 |          1 |           0 |      10
         163 |  102056 |          1 |           0 |      11
         164 |  102057 |          1 |           0 |      12
         165 |  102058 |          1 |           0 |      13
         166 |  102059 |          1 |           0 |      14
         167 |  102060 |          1 |           0 |      15
         168 |  102061 |          1 |           0 |      16
         169 |  102062 |          1 |           0 |      17
         170 |  102063 |          1 |           0 |      18
         171 |  102064 |          1 |           0 |      19
         172 |  102065 |          1 |           0 |       1
         173 |  102066 |          1 |           0 |       2
         174 |  102067 |          1 |           0 |       3
         175 |  102068 |          1 |           0 |       4
         176 |  102069 |          1 |           0 |       5
         177 |  102070 |          1 |           0 |       6
         178 |  102071 |          1 |           0 |       7
         179 |  102072 |          1 |           0 |       8
         180 |  102073 |          1 |           0 |       9
         181 |  102074 |          1 |           0 |      10
         182 |  102075 |          1 |           0 |      11
         183 |  102076 |          1 |           0 |      12
         184 |  102077 |          1 |           0 |      13
(184 rows)

